algorithm,initial_steps,final_steps,total_reward,average_reward,average_loss,num_episodes,max_steps
DDDQL,0,10000,-68246,-6.82,1.0119,5,2646
DDDQL,10000,20000,-76355,-7.64,1.4704,3,4141
DDDQL,20000,30000,-63721,-6.37,1.4911,4,4219
DDDQL,30000,40000,-71364,-7.14,1.5134,3,4891
DDDQL,40000,50000,-66405,-6.64,1.4238,3,5000
DDDQL,50000,60000,-60162,-6.02,1.2504,3,5000
DDDQL,60000,70000,-55400,-5.54,1.1727,4,5000
DDDQL,70000,80000,-61918,-6.19,1.1651,4,5000
DDDQL,80000,90000,-61118,-6.11,1.1076,3,4183
DDDQL,90000,100000,-47308,-4.73,1.1299,4,3969
DDDQL,100000,110000,-53408,-5.34,1.1774,4,3926
DDDQL,110000,120000,-50527,-5.05,1.1745,4,3588
DDDQL,120000,130000,-46996,-4.7,1.2109,4,3640
DDDQL,130000,140000,-40693,-4.07,1.2918,6,2722
DDDQL,140000,150000,-45092,-4.51,1.381,5,3037
DDDQL,150000,160000,-36475,-3.65,1.4345,6,3243
DDDQL,160000,170000,-33545,-3.35,1.5301,8,2675
DDDQL,170000,180000,-45211,-4.52,1.6336,7,2592
DDDQL,180000,190000,-28314,-2.83,1.8136,8,2193
DDDQL,190000,200000,-38838,-3.88,1.7563,7,2399
DDDQL,200000,210000,-38226,-3.82,1.7988,7,2219
DDDQL,210000,220000,-29583,-2.96,1.858,10,2391
DDDQL,220000,230000,-36641,-3.66,1.9328,10,2679
DDDQL,230000,240000,-25349,-2.53,2.1082,13,1244
DDDQL,240000,250000,-34111,-3.41,2.2073,9,2081
DDDQL,250000,260000,-29737,-2.97,2.3776,13,1671
DDDQL,260000,270000,-14486,-1.45,2.6632,18,1832
DDDQL,270000,280000,-7203,-0.72,3.0137,20,2298
DDDQL,280000,290000,-3470,-0.35,3.1951,23,832
DDDQL,290000,300000,-15663,-1.57,3.5668,22,1740
DDDQL,300000,310000,-9833,-0.98,4.0269,24,1036
DDDQL,310000,320000,8419,0.84,4.5817,33,1050
DDDQL,320000,330000,-14913,-1.49,4.943,24,2368
DDDQL,330000,340000,11045,1.1,5.2634,31,947
DDDQL,340000,350000,17797,1.78,5.6586,34,1369
DDDQL,350000,360000,15980,1.6,5.8997,35,1032
DDDQL,360000,370000,43631,4.36,6.1352,45,431
DDDQL,370000,380000,34031,3.4,6.5345,42,616
DDDQL,380000,390000,46699,4.67,6.5005,46,438
DDDQL,390000,400000,38266,3.83,6.8155,44,445
DDDQL,400000,410000,39756,3.98,7.0451,44,671
DDDQL,410000,420000,54732,5.47,7.1607,50,670
DDDQL,420000,430000,69552,6.96,7.3581,56,406
DDDQL,430000,440000,83509,8.35,7.6912,61,337
DDDQL,440000,450000,77986,7.8,7.5923,59,402
DDDQL,450000,460000,83743,8.37,7.5164,63,354
DDDQL,460000,470000,92492,9.25,7.3896,66,321
DDDQL,470000,480000,98634,9.86,7.5008,66,293
DDDQL,480000,490000,89923,8.99,7.3021,65,275
DDDQL,490000,500000,85471,8.55,7.3012,62,586
DDDQL,500000,510000,66756,6.68,7.3095,53,1517
DDDQL,510000,520000,92027,9.2,7.1754,63,342
DDDQL,520000,530000,101717,10.17,7.0623,67,352
DDDQL,530000,540000,99942,9.99,7.0185,66,391
DDDQL,540000,550000,95026,9.5,6.9162,63,372
DDDQL,550000,560000,89769,8.98,7.0039,63,292
DDDQL,560000,570000,98394,9.84,7.0099,67,480
DDDQL,570000,580000,103310,10.33,7.1043,69,438
DDDQL,580000,590000,97651,9.77,7.2887,66,389
DDDQL,590000,600000,110073,11.01,7.7605,69,464
DDDQL,600000,610000,123296,12.33,7.6931,77,282
DDDQL,610000,620000,106556,10.66,7.8087,70,367
DDDQL,620000,630000,74349,7.43,7.7502,59,1133
DDDQL,630000,640000,104207,10.42,7.7965,70,446
DDDQL,640000,650000,106960,10.7,7.7409,69,494
DDDQL,650000,660000,134031,13.4,7.6327,80,294
DDDQL,660000,670000,108113,10.81,7.7365,70,322
DDDQL,670000,680000,120740,12.07,7.6117,76,326
DDDQL,680000,690000,93851,9.39,7.5062,64,587
DDDQL,690000,700000,110922,11.09,7.4579,70,342
DDDQL,700000,710000,98387,9.84,7.3011,67,390
DDDQL,710000,720000,125310,12.53,7.4976,78,322
DDDQL,720000,730000,111051,11.11,7.344,70,274
DDDQL,730000,740000,84909,8.49,7.5907,71,1021
DDDQL,740000,750000,111014,11.1,7.7035,71,316
DDDQL,750000,760000,121377,12.14,7.6414,75,268
DDDQL,760000,770000,99423,9.94,7.3309,68,303
DDDQL,770000,780000,88933,8.89,7.2538,63,1076
DDDQL,780000,790000,76677,7.67,7.1987,57,1520
DDDQL,790000,800000,107788,10.78,7.0521,69,366
DDDQL,800000,810000,100889,10.09,7.2482,66,957
DDDQL,810000,820000,122039,12.2,7.2454,74,277
DDDQL,820000,830000,115135,11.51,7.342,71,353
DDDQL,830000,840000,96950,9.7,7.4797,66,342
DDDQL,840000,850000,112144,11.21,7.486,72,380
DDDQL,850000,860000,111066,11.11,7.3772,70,362
DDDQL,860000,870000,120666,12.07,7.569,74,243
DDDQL,870000,880000,110350,11.04,7.4507,72,349
DDDQL,880000,890000,110817,11.08,7.5834,71,295
DDDQL,890000,900000,110422,11.04,7.74,70,263
DDDQL,900000,910000,122302,12.23,7.6415,76,295
DDDQL,910000,920000,138934,13.89,7.4935,81,284
DDDQL,920000,930000,115870,11.59,7.593,72,379
DDDQL,930000,940000,121947,12.19,7.251,74,294
DDDQL,940000,950000,124512,12.45,7.0541,77,270
DDDQL,950000,960000,135294,13.53,7.1432,79,404
DDDQL,960000,970000,127392,12.74,7.1056,77,304
DDDQL,970000,980000,121429,12.14,7.1332,74,303
DDDQL,980000,990000,115410,11.54,6.9865,72,398
DDDQL,990000,1000000,126394,12.64,6.8575,76,285
DDDQL,1000000,1010000,117804,11.78,7.1434,75,552
DDDQL,1010000,1020000,134231,13.42,7.2657,79,298
